Название;Стоимость;Стихия;Легендарность;Суть
Лошадь (хромая);2 сс;Нет;Обычная;25 км/день
Лошадь (без хвоста);5 сс;Нет;Обычная;50 км/день
Лошадь (нормальная);10 сс;Нет;Обычная;100 км/день
Лошадь (скоростная);20 сс;Нет;Обычная;150 км/день
Лошадь (сверхскоростная);50 сс;Нет;Обычная;200 км/день
Лошадь (светлая);25 сс;Воздух;Редкая;100 км/день, +25% к заклинаниям магии Света, -25% к урону от заклинаний магии Тьмы.
Лошадь (светлой породы);30 сс;Воздух;Редкая;100 км/день, +25% к реакции, на вас не нападают существа 1 уровня.
Лошадь (послушная);50 сс;Воздух;Редкая;100 км/день, при наличии Искусной дипломатии вы автоматически получаете Абсолютную дипломатию и заклинание Песнь мира, но до тех пор, пока вы сидите на лошади.
Лошадь (солнечного света);60 сс;Воздух;Редкая;100 км/день, излучает яркий свет. -50% к защите атакующих вас темных существ, +50% к атаке по темным существам.
Лошадь (повелитель равнин);100 сс;Воздух;Эпическая;150 км/день, 300 км/день по местности, покрытой травой.
Лошадь (лесная);125 сс;Воздух;Эпическая;150 км/день, 300 км/день по местности с деревьями.
Лошадь (мистическая);200 сс;Воздух;Эпическая;150 км/день, подсвечивает притаившихся врагов, не обладающих Древним Искусством Плутовства.
Лошадь (драконо-подобная);250 сс;Воздух;Легендарная;200 км/день, умеет летать, огнеупорная. +50% к защите от драконов, +25% к атаке по существам, не являющихся драконами.
Лошадь (неутомимый боец);500 сс;Воздух;Легендарная;200 км/день, на вас лежит заклинание Силы, Скорости, Огнестойкости, Реакции, Льда, Ярости, Каменной Кожи, Магической Непробиваемости, Заклинателя и Самоуверенности пока вы сидите на лошади.
Властелин Ветров;Не продается;Воздух;Единственная;250 км/день, невосприимчивость к Древнему Искусству Магии стихии Воздуха, +300% к магии Воздуха, меч получает возможность ломать любой меч находящийся в руке у героя, уровень у которого вдвое меньше вашего. Меч получает зачарования «Боевое вращение», «Штормовой удар», «Баланс светотени», «Лунный блик» и «Мощь Квазара», пока вы сидите на лошади.
Лошадь (волновая);25 сс;Вода;Редкая;100 км/день, +25% к магии Воды, +25% к урону ото льда.
Лошадь (синеватая);30 сс;Вода;Редкая;100 км/день, +20% к защите за каждую вещь, принадлежащую к стихии Воды (считаются только вещи с Рынка).
Лошадь (скрытная);50 сс;Вода;Редкая;100 км/день, вы находитесь под действием заклинания «Маскировка». Если вы обладаете Древним Искусством Плутовства, вы получаете +50% к реакции и +50% к скорости.
Лошадь (амфибия);60 сс;Вода;Редкая;100 км/день, вы получаете «Подводное дыхание», пока сидите на лошади. Ваши характеристики не уменьшаются под водой.
Лошадь (подводного света);100 сс;Вода;Эпическая;150 км/день, +100% к магии Света и Воды сразу, +50% к магии Света, +50% к магии Воды.
Лошадь (боевая);125 сс;Вода;Эпическая;150 км/день, +50% к нападению, +50% к защите, +1 ко всем навыкам в ветке Древнего Воинского Искусства.
Лошадь (рунная);200 сс;Вода;Эпическая;150 км/день, +300% к мане и +300% к скорости восстановления манны, пока вы сидите на лошади.
Лошадь (ледяная);250 сс;Вода;Легендарная;200 км/день, +200% к урону от магии Воды, +100% к скорости, 100% к реакции на снежных землях. +1 ко всем характеристикам Древнего Искусства Магии для заклинаний стихии Воды.
Лошадь (прибережная);500 сс;Вода;Легендарная;200 км/день, вся ваша броня приобретает свойства галворнового железа, все ваши мечи приобретают +100% к урону. Все ваши щиты получают +100% к защите. 
Властелин Морей;Не продается;Вода;Единственная;250 км/день, невосприимчивость к Древнему Искусству Магии стихии Воды, +300% к магии Воздуха, щит получает возможность блокировать любую атаку (включая магические). Щит получает зачарования «Защита от заклинаний», «Защита от Воды», «Гроза Заклинаний» и «Невероятное Отрицание», пока вы сидите на лошади.
Лошадь (каменнокожная);25 сс;Земля;Редкая;100 км/день, на вас лежит эффект «Каменная кожа», пока вы сидите на лошади. Лошадь невозможно убить мечами хуже метеоритного железа.
Лошадь (окаменевшая);30 сс;Земля;Редкая;100 км/день, если вы атаковали врага, на него с некоторым шансом наложатся заклинания «Ледяная глыба», и «Каменные шипы» максимального уровня.
Лошадь (песчаная);50 сс;Земля;Редкая;100 км/день, +500% к скорости по песку.
Лошадь (болотная);60 сс;Земля;Редкая;100 км/день, +500% к скорости по болоту.
Лошадь (темная);100 сс;Земля;Эпическая;150 км/день, +200% к эффективности заклинаний магии Тьмы. +1 к уровню всех навыков в ветке Древнего Искусства Магии Тьмы.
Лошадь (испуганная);125 сс;Земля;Эпическая;150 км/день, если у вас осталось меньше 20% здоровья, лошадь телепортируется подальше от битвы.
Лошадь (пугающая);200 сс;Земля;Эпическая;150 км/день, на врага накладывается «Скорбь» и «Аура страха», пока вы сидите на лошади.  +25% к атаке, +25% к защите.
Лошадь (пустынная);250 сс;Земля;Легендарная;200 км/день, лошадь умеет пускать огонь, если стоит на песке. +100% к магии Земли. +1 ко всем веткам Древнего Искусства Магии Земли.
Лошадь (бывалая);500 сс;Земля;Легендарная;200 км/день, призрачная лошадь, боевая магия, полет, телепортация.
Властелин Скал;Не продается;Земля;Единственная;250 км/день, невосприимчивость к Древнему Искусству Магии стихии Земли, +300% к магии Земли, ваш магический посох дает вам возможность колдовать все заклинания на максимальном уровне. Каждое заклинание врага восстанавливает вам половину манны от той, что была потрачена на его использование (с округлением вниз). +100% к магическому урону, +100% к магической защите. Заклинания стоят дешевле (заклинание уровня k стоит на k манны меньше).
Лошадь (огненная);25 сс;Огонь;Редкая;100 км/день, на вас лежит эффект «Огнестойкость», пока вы сидите на лошади.
Лошадь (пламенная);30 сс;Огонь;Редкая;100 км/день, на вас почти не действуют заклинания магии Света и Хаоса, вы не можете колдовать заклинания магии Призыва и Тьмы.
Лошадь (магматическая);50 сс;Огонь;Редкая;100 км/день, если вы находитесь недалеко от вулкана, +100% к атаке и +100% к магическому урону.
Лошадь (лавовая);60 сс;Огонь;Редкая;100 км/день, лошадь умеет плыть по лаве. Пока лошадь плывет по лаве, на вас лежит эффект «Драконьего обличия».
Лошадь (пылающая);100 сс;Огонь;Эпическая;150 км/день, на вас лежит заклинание «Огненное возмездие». +600% к заклинанию «Слово огня».
Лошадь (обжигающая);125 сс;Огонь;Эпическая;150 км/день, любое заклинание, вызывающее огонь, вызывает драконовый огонь вместо обычного (драконовый огонь и адский огонь усиливаются).
Лошадь (раскаленная);200 сс;Огонь;Эпическая;150 км/день, +1 уровень ко всем веткам  Древнему Искусству Магии стихии Огня, +150% к атаке, +150% к защите.
Лошадь (сверкающая);250 сс;Огонь;Легендарная;200 км/день, полет, телепортация. Все ваши войска получают заклинание «Огненная стрела» 3-его уровня.
Лошадь (сияющая);500 сс;Огонь;Легендарная;200 км/день, +300% к магической защите, полет. Все заклинания Хаоса, наложенные вами, не могут быть отклонены артефактами.
Властелин Пламени;Не продается;Огонь;Единственная;250 км/день, невосприимчивость к Древнему Искусству Магии стихии Огня, +300% к магии Огня, лук получает возможность пробить любую броню или предмет. Лук получает зачарования «Прочность стрелы», «Горящая стрела», «Преследующий Свет» и «Нежданное Затмение», пока вы сидите на лошади.
Лошадь (модератор);Не продается;Нет;Редкая;? км/день, +30% к урону по призванным существам.
Лошадь (админ);Не продается;Нет;Редкая;? км/день, +50% к урону по призванным существам.
Лошадь (молекулярно-кинетическая);Не продается;Нет;Редкая;? км/день, чем жарче вокруг, тем сильнее она давит на противника (морально).
Лошадь (кинематическая);Не продается;Нет;Редкая;? км/день, ее скорость всегда равна проекции обычной скорости на ось запад-восток (т.е чем больше вы едете на север/юг, тем медленнее вы едете).
